station,longitude,QoS,latitude,revision,continent,city
Kenda,86.51499,good,23.1959,2018-06-17,Asia,Kolkata
Canton,-83.48216,good,42.30865,2022-10-10,America,Detroit
Zaysan,84.87144,good,47.46657,2016-11-06,Asia,Almaty
Shushary,30.38167,good,59.80917,2022-09-10,Europe,Moscow
Cheraga,2.95924,good,36.76775,2024-01-07,Africa,Algiers
Lagarto,-37.65,good,-10.91722,2022-07-15,America,Maceio
Aksaray,34.02537,acceptable,38.37255,2022-06-13,Europe,Istanbul
Larkana,68.21204,acceptable,27.55898,2024-05-23,Asia,Karachi
Pedro II,-41.45861,acceptable,-4.42472,2020-02-14,America,Fortaleza
Huntley,-88.42814,excellent,42.16808,2022-11-28,America,Chicago
Marseille 11,5.4384,good,43.2907,2017-02-18,Europe,Paris
Montpellier,3.87723,good,43.61092,2018-05-24,Europe,Paris
Privolzhskiy,46.04833,excellent,51.40944,2020-03-03,Europe,Saratov
Stade,9.47629,good,53.59337,2016-12-02,Europe,Berlin
Jashpurnagar,84.13864,excellent,22.88783,2021-12-17,Asia,Kolkata
Zvenihorodka,30.96755,acceptable,49.07866,2022-08-14,Europe,Kyiv
Siliana,9.37082,excellent,36.08497,2017-12-24,Africa,Tunis
Zeitz,12.1369,excellent,51.04962,2022-03-24,Europe,Berlin
New Canaan,-73.49484,good,41.14676,2016-04-24,America,New_York
Longgang,120.33063,good,37.65181,2017-01-18,Asia,Shanghai
Walton-on-the-Naze,1.26738,acceptable,51.84819,2024-01-29,Europe,London
Goyang-si,126.835,good,37.65639,2017-01-22,Asia,Seoul
Licheng,113.82465,good,23.29549,2019-09-17,Asia,Shanghai
Boston,-71.05977,good,42.35843,2018-03-08,America,New_York
Tuxtla,-93.11308,acceptable,16.75973,2017-12-13,America,Mexico_City
Kingston upon Hull,-0.33525,good,53.7446,2016-05-02,Europe,London
Siegburg,7.20769,maintenance,50.80019,2024-06-12,Europe,Berlin
Puducherry,79.82979,excellent,11.93381,2016-08-11,Asia,Kolkata
Udumalaippettai,77.24779,good,10.58806,2023-04-05,Asia,Kolkata
Jindřichův Hradec,15.006139,good,49.144482,2025-07-05,Europe,Prague
Chharra,78.40102,acceptable,27.9247,2021-09-24,Asia,Kolkata
Changzhi,111.73861,good,35.20889,2019-08-22,Asia,Shanghai
Naro-Fominsk,36.73307,good,55.38752,2015-12-26,Europe,Moscow
Msaken,10.58082,acceptable,35.72917,2021-12-12,Africa,Tunis
El Copey,-73.9614,excellent,10.15031,2022-05-30,America,Bogota
Betamcherla,78.14797,excellent,15.45144,2016-12-18,Asia,Kolkata
Paracho de Verduzco,-102.04897,good,19.64745,2017-06-27,America,Mexico_City
Zhuangyuan,120.82747,excellent,37.30553,2019-12-30,Asia,Shanghai
Lille,4.82313,good,51.24197,2016-03-05,Europe,Brussels
Lower West Side,-87.66561,good,41.8542,2016-01-05,America,Chicago
