,Correlation,F-regression,Mutual_Info,Random_Forest,Mean_Score,Rank
PVI,1.0,1.0,1.0,1.0,1.0,1.0
PRV,0.5644954454875852,0.21062092868295865,0.6607017164666437,0.32568897025457794,0.4403767652229414,2.0
HR,0.4010609850642355,0.09862680872353678,0.5099493891433914,0.08144793077626836,0.272771278426858,3.0
CO,0.16974948791411856,0.016701308451066755,0.5333034099514764,0.09949226097697948,0.20481161682341031,4.0
SpO₂,0.13847276343107628,0.0110801427044118,0.5021913232140618,0.061874209904409706,0.1784046098134899,5.0
EtCO₂,0.16601875317026335,0.01596838382932628,0.41265169154109654,0.10766623398151337,0.1755762656305499,6.0
Motion/Activity index,0.043303180237774824,0.0010904073458830375,0.4547928097684755,0.16383717770208986,0.16575589376355582,7.0
Respiratory effort,0.016292884227678935,0.0001593531091899701,0.4847890857160867,0.024199146626359427,0.13136011741982878,8.0
O₂ extraction ratio,0.023759284250002087,0.0003334507649855869,0.4504661191232817,0.02263786334197416,0.12429917937006088,9.0
SNR,0.012426906462979191,9.417680365392581e-05,0.45871470875464687,0.020605315872367032,0.12296027697341175,10.0
PPG waveform features,0.003719061302270986,9.741544250023636e-06,0.4554434050046878,0.023489949604729696,0.12066553936398462,11.0
Hb level,0.011295285366080187,7.832084879759038e-05,0.4450750703263848,0.024786538010939947,0.12030880363805063,12.0
SV,0.012048889150186985,8.871784899164902e-05,0.44134727156485376,0.024004438921926337,0.11937232937148969,13.0
Blood Flow Index,0.007791905655321845,3.8482002282585005e-05,0.441850063961963,0.022194634825518863,0.11796877161127158,14.0
BP,0.029204304388523408,0.0005005060236454718,0.4122136257110594,0.01676041702726037,0.11466971328762217,15.0
PI,0.02379719204607388,0.00033449686707835133,0.4143896159214314,0.016402888961109877,0.11373104844892337,16.0
Signal Quality Index,0.0130947884142022,0.00010421964517879617,0.4197452154192744,0.02063332773191436,0.11339438780264244,17.0
FiO₂,0.014913307554161837,0.00013414049048071023,0.4153553506766585,0.01724868029578548,0.11191286975427163,18.0
RR,0.01166372456452414,8.332313459579083e-05,0.4156528027227776,0.020047022444750887,0.1118617182166621,19.0
Skin Temperature,0.0029667964024395342,6.500186766663459e-06,0.41075077040624136,0.022406633146421193,0.1090326750354672,20.0
latitude,0.020686489708617743,0.00025410460829708496,0.01981156367979013,0.019452178389103524,0.01505108409645212,21.0
longitude,0.004770639911388942,1.535279354917319e-05,0.03127065095436415,0.017565985323444534,0.0134056572456867,22.0
city,0.034932990338395344,0.0007127980761647863,0.0,0.014698908797548895,0.012586174303027255,23.0
station,0.017234365538968666,0.00017780450322400808,0.012046350911688734,0.016341838046113395,0.0114500897499987,24.0
revision,0.017116589543329962,0.00017544101328577675,0.008679062487216362,0.009619041906064838,0.008897533737474235,25.0
QoS,0.0168995923012409,0.0001711277835718715,0.0,0.0,0.004267680021203192,26.0
continent,0.0,0.0,0.0,0.002632672638816179,0.0006581681597040448,27.0
